_id,Station_ID,Timestamp,PM2_5,PM10,NO2,AQI,Year,Month
AQ_0003076,ST_004,11/21/2026 13:00,213.03,282.79,36.76,499,2026,November
AQ_0003706,ST_004,8/7/2026 17:17,275.79,445.44,64.88,499,2026,August
AQ_0011089,ST_004,3/19/2020 19:40,180.72,311.27,30.57,499,2020,March
AQ_0011777,ST_004,2/26/2019 20:53,288.05,109.95,47.64,499,2019,February
AQ_0013137,ST_004,3/15/2024 11:54,186.44,215.78,31.21,499,2024,March
AQ_0029339,ST_004,8/28/2025 22:20,135.8,378.95,59.79,499,2025,August
AQ_0029751,ST_004,1/14/2019 18:25,115.84,499.49,18.81,499,2019,January
AQ_0031242,ST_004,11/2/2019 13:17,210.9,225.32,41.21,499,2019,November
AQ_0032293,ST_004,7/26/2024 6:07,287.26,353.01,37.3,499,2024,July
AQ_0051352,ST_004,2/18/2026 12:47,222.24,130.12,51.2,499,2026,February
AQ_0065328,ST_004,4/21/2024 2:00,115.55,390.23,61.44,499,2024,April
AQ_0067076,ST_004,1/13/2022 7:54,80.48,349.24,26.68,499,2022,January
AQ_0070165,ST_004,4/3/2023 11:21,245.57,279.44,37.98,499,2023,April
AQ_0076019,ST_004,5/24/2020 13:05,247.4,269.86,13.57,499,2020,May
AQ_0082421,ST_004,12/9/2025 5:47,43.42,459.63,66.03,499,2025,December
AQ_0085363,ST_004,6/8/2026 13:56,45.89,420.85,48.67,499,2026,June
AQ_0089466,ST_004,3/29/2021 22:34,97.18,62.13,29.32,499,2021,March
AQ_0092073,ST_004,7/5/2025 5:32,119.08,169.36,58.37,499,2025,July
AQ_0097437,ST_004,9/13/2023 0:02,268.8,494.33,8.42,499,2023,September
AQ_0108052,ST_004,4/3/2021 15:20,269.62,343.97,30.14,499,2021,April
AQ_0110858,ST_004,11/7/2024 5:16,337.59,94.37,11.43,499,2024,November
AQ_0112239,ST_004,9/27/2022 11:29,194.02,288.04,22.85,499,2022,September
AQ_0121413,ST_004,11/5/2023 15:46,155.59,371.21,19.2,499,2023,November
AQ_0121550,ST_004,8/26/2020 18:39,319.43,240.38,52.08,499,2020,August
AQ_0128979,ST_004,9/1/2023 10:37,291.45,447.67,42.95,499,2023,September
AQ_0131961,ST_004,9/24/2024 13:00,135.9,344.46,18.15,499,2024,September
AQ_0133621,ST_004,2/6/2025 3:34,302.36,216.76,53.2,499,2025,February
AQ_0137209,ST_004,1/3/2024 0:42,262.02,300.72,11.66,499,2024,January
AQ_0143341,ST_004,1/17/2025 12:51,346.27,434.21,23.83,499,2025,January
AQ_0156803,ST_004,2/13/2023 21:36,65.66,150.66,50.59,499,2023,February
AQ_0158341,ST_004,5/19/2020 3:10,41.53,42.44,8.05,499,2020,May
AQ_0162381,ST_004,3/4/2024 3:56,123.12,204.2,67.64,499,2024,March
AQ_0176257,ST_004,3/3/2020 3:55,152.44,115.26,49.01,499,2020,March
AQ_0180667,ST_004,4/18/2022 2:29,179.94,440.5,33.5,499,2022,April
AQ_0187583,ST_004,6/9/2021 6:31,349.71,424.05,43.99,499,2021,June
AQ_0190776,ST_004,5/13/2019 18:08,323.72,369.43,12.86,499,2019,May
AQ_0194057,ST_004,3/15/2026 16:46,55.65,157.69,36.33,499,2026,March
AQ_0195154,ST_004,9/12/2023 11:55,305.8,24.09,56.67,499,2023,September
AQ_0197708,ST_004,8/20/2024 13:55,65.18,402.07,18.85,499,2024,August
AQ_0198673,ST_004,5/1/2021 15:00,110.7,409.14,53.18,499,2021,May
AQ_0202364,ST_004,2/19/2023 11:21,251.93,268.13,55.07,499,2023,February
AQ_0208535,ST_004,6/4/2024 9:15,113.03,382.78,63.5,499,2024,June
AQ_0210524,ST_004,12/3/2025 2:29,15.08,372.77,18.77,499,2025,December
AQ_0218520,ST_004,3/7/2023 5:50,91.47,300.51,32.92,499,2023,March
AQ_0230704,ST_004,5/26/2019 5:06,127.7,72.49,10.46,499,2019,May
AQ_0233893,ST_004,8/29/2022 2:28,319.53,399.29,39.76,499,2022,August
AQ_0235995,ST_004,4/18/2019 17:09,25.5,55.41,19.6,499,2019,April
AQ_0236416,ST_004,3/6/2025 15:38,173.76,412.67,20.26,499,2025,March
AQ_0241040,ST_004,11/30/2024 10:07,137.92,141.07,49.27,499,2024,November
AQ_0242130,ST_004,8/14/2025 16:39,61.69,175.5,44.11,499,2025,August
AQ_0242910,ST_004,6/14/2024 1:36,296.96,173.6,39.51,499,2024,June
AQ_0244887,ST_004,9/18/2026 23:52,80.14,224.2,6.71,499,2026,September
AQ_0248646,ST_004,5/31/2020 1:17,75.8,466.75,7.31,499,2020,May
AQ_0249595,ST_004,1/18/2021 0:31,107.03,127.26,6.56,499,2021,January
AQ_0250958,ST_004,6/29/2024 12:26,95.57,134.01,26.02,499,2024,June
AQ_0254939,ST_004,9/26/2020 18:01,132.35,355.42,32.32,499,2020,September
AQ_0260555,ST_004,8/29/2022 13:26,163.62,41.49,50.79,499,2022,August
AQ_0275950,ST_004,2/21/2019 7:22,324.12,81.15,31.08,499,2019,February
AQ_0276038,ST_004,9/8/2019 11:46,55.36,308.32,67.02,499,2019,September
AQ_0278886,ST_004,2/12/2024 1:44,223.66,378.39,50.53,499,2024,February
AQ_0279202,ST_004,3/25/2019 17:53,146.33,378.45,68.26,499,2019,March
AQ_0281675,ST_004,8/13/2024 21:20,79.12,281.1,34.67,499,2024,August
AQ_0282010,ST_004,9/14/2020 19:21,166.83,177.38,21.03,499,2020,September
AQ_0308763,ST_004,6/17/2025 18:32,163.59,176.8,11.46,499,2025,June
AQ_0316119,ST_004,10/28/2026 17:43,65.3,242.63,36.29,499,2026,October
AQ_0317612,ST_004,8/6/2022 4:21,186.82,95.66,38.95,499,2022,August
AQ_0322518,ST_004,7/9/2024 17:56,28.31,286.71,46.4,499,2024,July
AQ_0330299,ST_004,10/24/2024 22:00,151.3,99.14,62.9,499,2024,October
AQ_0330340,ST_004,8/20/2019 11:33,137.34,38.96,31.13,499,2019,August
AQ_0332254,ST_004,2/16/2021 7:37,205.63,69.71,53.49,499,2021,February
AQ_0334870,ST_004,4/12/2021 15:42,344.26,431.96,47.69,499,2021,April
AQ_0337930,ST_004,4/20/2022 8:04,331.24,226.76,42.88,499,2022,April
AQ_0347455,ST_004,2/14/2019 6:08,131.93,486.08,55.81,499,2019,February
AQ_0347556,ST_004,10/8/2023 21:41,297.33,196.77,62.61,499,2023,October
AQ_0358608,ST_004,10/6/2021 22:50,300.7,218.64,11.62,499,2021,October
AQ_0363402,ST_004,1/19/2021 2:42,153.53,189.97,64.04,499,2021,January
AQ_0363560,ST_004,5/29/2022 12:50,254.58,50.24,35.42,499,2022,May
AQ_0367438,ST_004,7/13/2020 3:16,234.53,133.52,53.12,499,2020,July
AQ_0389440,ST_004,7/12/2019 5:51,242.52,64.33,62.79,499,2019,July
AQ_0391297,ST_004,3/31/2024 3:57,46.03,287.04,48.36,499,2024,March
AQ_0391976,ST_004,4/3/2020 2:55,185.78,389.95,36.72,499,2020,April
AQ_0395810,ST_004,2/24/2022 23:57,297.47,46.35,15.31,499,2022,February
AQ_0397247,ST_004,8/1/2019 19:59,184.75,136.73,50.09,499,2019,August
AQ_0086334,ST_004,7/8/2021 19:59,15.94,172.89,32.03,31,2021,July
AQ_0497756,ST_004,9/15/2020 8:31,124.97,112.25,67.61,346,2020,September
AQ_0359401,ST_004,8/1/2019 6:44,223.49,101.34,50.66,351,2019,August
AQ_0380069,ST_004,10/15/2025 16:45,57.23,329.57,53.15,168,2025,October
AQ_0154883,ST_004,1/7/2025 16:59,69.87,198.37,22.68,99,2025,January
AQ_0444998,ST_004,6/24/2019 1:47,100.96,215.18,6.03,355,2019,June
AQ_0593422,ST_004,12/20/2023 11:09,328.68,473.22,68.33,498,2023,December
AQ_0034114,ST_004,7/11/2025 3:32,257.14,155.46,50.1,198,2025,July
AQ_0502601,ST_004,12/31/2020 1:55,61.34,113.57,47.74,327,2020,December
AQ_0514203,ST_004,1/27/2019 21:20,298.01,47.64,27.13,407,2019,January
AQ_0567942,ST_004,3/3/2025 13:58,275.54,402.91,33.61,289,2025,March
AQ_0195671,ST_004,12/22/2020 21:04,276.29,45.18,32.3,498,2020,December
AQ_0046321,ST_004,4/14/2021 8:46,330.45,193.81,7.66,87,2021,April
AQ_0529256,ST_004,8/29/2024 10:20,38.37,106.1,17.36,221,2024,August
AQ_0540624,ST_004,3/5/2022 5:59,99.8,371.34,56.37,162,2022,March
AQ_0402894,ST_004,11/3/2023 6:15,312.47,349.78,5.07,367,2023,November
AQ_0409680,ST_004,7/12/2023 19:48,62.43,139.19,55.61,171,2023,July
AQ_0358673,ST_004,5/22/2025 8:01,281,95.34,58.31,296,2025,May
AQ_0394158,ST_004,1/26/2024 10:37,304.59,267.75,34.79,360,2024,January
AQ_0292052,ST_004,6/9/2026 9:50,90.69,362,57.05,378,2026,June
AQ_0398120,ST_004,8/4/2020 12:51,45.51,259.87,17.68,72,2020,August
AQ_0014952,ST_004,7/3/2020 2:57,58.51,375.37,10.34,85,2020,July
AQ_0209135,ST_004,9/14/2019 4:41,212.8,82.93,10.89,183,2019,September
AQ_0390052,ST_004,1/6/2023 3:50,304.78,160.73,6.23,490,2023,January
AQ_0411961,ST_004,7/9/2020 19:39,34.24,180.7,55.29,455,2020,July
AQ_0305965,ST_004,8/13/2024 17:04,131.25,329.96,9.8,445,2024,August
AQ_0158716,ST_004,9/28/2019 16:47,321.74,497.4,45.03,348,2019,September
AQ_0540207,ST_004,11/19/2023 4:09,118.09,193.23,69.77,70,2023,November
AQ_0571993,ST_004,4/25/2026 20:32,47.87,240.51,34.35,451,2026,April
AQ_0077094,ST_004,5/28/2021 0:28,209.92,51.81,37.03,439,2021,May
AQ_0398589,ST_004,7/21/2019 10:11,170.47,247.95,51.49,439,2019,July
AQ_0582117,ST_004,9/10/2025 23:03,141.71,427.4,61.15,163,2025,September
AQ_0580225,ST_004,10/10/2021 10:08,276.84,232.04,58.36,107,2021,October
AQ_0256404,ST_004,5/5/2023 7:10,200.5,487.56,57.88,194,2023,May
AQ_0086632,ST_004,4/4/2022 4:10,85.57,298.27,63.81,393,2022,April
AQ_0313451,ST_004,5/29/2024 5:07,343.79,231.52,19.89,159,2024,May
AQ_0192875,ST_004,8/27/2024 11:54,48.48,220.1,32.02,202,2024,August
AQ_0310846,ST_004,8/2/2022 10:36,95.35,232.22,34.42,159,2022,August
AQ_0266356,ST_004,10/15/2026 6:50,25.43,492.96,58.05,456,2026,October
AQ_0594594,ST_004,3/27/2019 1:55,286,162.18,33.36,201,2019,March
AQ_0011757,ST_004,7/17/2020 4:41,200.41,497.38,23.62,285,2020,July
AQ_0595027,ST_004,1/27/2020 14:24,42.04,71.88,27.84,243,2020,January
AQ_0322838,ST_004,1/31/2020 17:56,10.43,71.38,38.11,423,2020,January
AQ_0042806,ST_004,10/27/2026 5:51,267.8,313.05,14.48,151,2026,October
AQ_0023497,ST_004,12/9/2025 15:39,246.16,234.27,5.6,169,2025,December
AQ_0467680,ST_004,8/27/2025 1:08,128.98,156.81,24.86,64,2025,August
AQ_0194302,ST_004,7/12/2024 5:33,114.71,146.43,46.57,79,2024,July
