Event_ID,Province,Year,Month,Event_Type,Intensity,CO2_Equivalent_Mt
EV_000000,Gandaki,2022,February,Dust Storm,5,3.84
EV_000008,Gandaki,2025,February,Construction,5,0.57
EV_000017,Gandaki,2019,February,Forest Fire,5,2.37
EV_000022,Gandaki,2023,March,Forest Fire,5,3.51
EV_000025,Gandaki,2025,April,Construction,5,0.84
EV_000028,Gandaki,2024,October,Forest Fire,5,0.3
EV_000037,Gandaki,2025,July,Dust Storm,5,0.63
EV_000042,Gandaki,2020,May,Dust Storm,5,2.44
EV_000045,Gandaki,2026,September,Forest Fire,5,3.77
EV_000052,Gandaki,2020,January,Factory Emission,5,1.78
EV_000059,Gandaki,2020,December,Dust Storm,5,0.73
EV_000060,Gandaki,2022,January,Dust Storm,5,1.33
EV_000066,Gandaki,2023,March,Construction,5,2.7
EV_000072,Gandaki,2023,September,Forest Fire,5,3.82
EV_000075,Gandaki,2020,October,Dust Storm,5,4.26
EV_000077,Gandaki,2019,January,Dust Storm,5,0.5
EV_000088,Gandaki,2021,July,Crop Burning,5,3.21
EV_000090,Gandaki,2021,February,Forest Fire,5,1.03
EV_000091,Gandaki,2021,February,Construction,5,1.21
EV_000093,Gandaki,2019,June,Crop Burning,5,0.5
EV_000096,Gandaki,2025,June,Construction,5,2.0
EV_000098,Gandaki,2020,June,Forest Fire,5,1.09
EV_000099,Gandaki,2021,November,Forest Fire,5,0.7
EV_000102,Gandaki,2026,January,Forest Fire,5,2.51
EV_000104,Gandaki,2021,February,Construction,5,4.6
EV_000105,Gandaki,2023,December,Construction,5,4.39
EV_000107,Gandaki,2019,May,Dust Storm,5,4.0
EV_000110,Gandaki,2025,September,Factory Emission,5,3.22
EV_000114,Gandaki,2025,May,Forest Fire,5,0.39
EV_000116,Gandaki,2022,September,Forest Fire,5,3.67
EV_000117,Gandaki,2026,December,Dust Storm,5,3.41
EV_000125,Gandaki,2021,July,Forest Fire,5,4.74
EV_000126,Gandaki,2021,May,Construction,5,1.13
EV_000127,Gandaki,2022,April,Forest Fire,5,4.96
EV_000128,Gandaki,2022,January,Crop Burning,5,2.97
EV_000129,Gandaki,2019,February,Forest Fire,5,4.98
EV_000133,Gandaki,2020,January,Construction,5,2.85
EV_000134,Gandaki,2023,February,Dust Storm,5,1.78
EV_000138,Gandaki,2019,November,Factory Emission,5,2.36
EV_000140,Gandaki,2023,June,Forest Fire,5,1.46
EV_000141,Gandaki,2026,July,Dust Storm,5,1.73
EV_000155,Gandaki,2025,April,Factory Emission,5,2.31
EV_000164,Gandaki,2020,August,Crop Burning,5,1.44
EV_000180,Gandaki,2024,August,Dust Storm,5,1.49
EV_000185,Gandaki,2022,July,Forest Fire,5,1.15
EV_000188,Gandaki,2026,March,Dust Storm,5,3.71
EV_000192,Gandaki,2022,March,Crop Burning,5,0.35
EV_000211,Gandaki,2019,June,Dust Storm,5,1.89
EV_000253,Gandaki,2019,January,Crop Burning,5,0.47
EV_000255,Gandaki,2019,May,Forest Fire,5,0.69
EV_000256,Gandaki,2026,December,Construction,5,2.98
EV_000264,Gandaki,2021,March,Construction,5,4.11
EV_000266,Gandaki,2023,November,Dust Storm,5,1.76
EV_000272,Gandaki,2022,August,Crop Burning,5,4.64
EV_000282,Gandaki,2026,November,Factory Emission,5,3.17
EV_000288,Gandaki,2023,September,Construction,5,2.04
EV_000289,Gandaki,2021,June,Factory Emission,5,0.3
EV_000297,Gandaki,2021,January,Factory Emission,5,0.86
EV_000298,Gandaki,2026,August,Factory Emission,5,4.79
EV_000300,Gandaki,2020,May,Crop Burning,5,2.19
EV_000301,Gandaki,2022,March,Crop Burning,5,4.27
EV_000302,Gandaki,2026,April,Factory Emission,5,1.94
EV_000305,Gandaki,2023,January,Factory Emission,5,1.58
EV_000307,Gandaki,2022,October,Crop Burning,5,0.42
EV_000312,Gandaki,2021,October,Forest Fire,5,1.92
EV_000319,Gandaki,2024,November,Crop Burning,5,3.21
EV_000321,Gandaki,2020,July,Crop Burning,5,2.72
EV_000322,Gandaki,2023,March,Dust Storm,5,0.35
EV_000327,Gandaki,2024,March,Factory Emission,5,4.57
EV_000330,Gandaki,2020,October,Crop Burning,5,1.13
EV_000338,Gandaki,2023,June,Dust Storm,5,0.93
EV_000342,Gandaki,2022,December,Construction,5,1.07
EV_000343,Gandaki,2024,December,Forest Fire,5,2.44
EV_000344,Gandaki,2023,April,Crop Burning,5,2.94
EV_000345,Gandaki,2022,May,Construction,5,1.64
EV_000353,Gandaki,2025,March,Crop Burning,5,4.61
EV_000354,Gandaki,2020,March,Factory Emission,5,2.64
EV_000359,Gandaki,2023,September,Construction,5,1.42
EV_000361,Gandaki,2024,May,Construction,5,1.62
EV_000367,Gandaki,2020,April,Crop Burning,5,0.28
EV_000370,Gandaki,2021,January,Construction,5,4.97
EV_000372,Gandaki,2022,July,Forest Fire,5,0.86
EV_000374,Gandaki,2019,June,Forest Fire,5,4.01
EV_000375,Gandaki,2025,July,Forest Fire,5,1.48
EV_000387,Gandaki,2020,December,Construction,5,4.24
EV_000391,Gandaki,2025,January,Construction,5,2.36
EV_000397,Gandaki,2021,June,Construction,5,1.55
EV_000398,Gandaki,2022,March,Construction,5,1.24
EV_000405,Gandaki,2020,May,Construction,5,3.25
EV_000408,Gandaki,2026,March,Factory Emission,5,3.61
EV_000414,Gandaki,2026,June,Dust Storm,5,2.57
EV_000421,Gandaki,2026,March,Dust Storm,5,3.74
EV_000422,Gandaki,2020,July,Dust Storm,5,0.83
EV_000425,Gandaki,2025,August,Factory Emission,5,1.37
EV_000428,Gandaki,2019,February,Construction,5,1.53
EV_000439,Gandaki,2022,April,Factory Emission,5,2.2
EV_000452,Gandaki,2023,February,Construction,5,4.96
EV_000454,Gandaki,2020,September,Construction,5,1.09
EV_000458,Gandaki,2022,June,Crop Burning,5,1.37
EV_000467,Gandaki,2020,June,Factory Emission,5,0.31
EV_000468,Gandaki,2026,December,Crop Burning,5,1.01
EV_000472,Gandaki,2023,January,Forest Fire,5,4.49
EV_000476,Gandaki,2023,June,Factory Emission,5,2.69
EV_000478,Gandaki,2020,October,Dust Storm,5,1.02
EV_000484,Gandaki,2019,July,Construction,5,3.22
EV_000488,Gandaki,2019,May,Dust Storm,5,0.76
EV_000491,Gandaki,2022,July,Factory Emission,5,1.71
EV_000494,Gandaki,2023,December,Dust Storm,5,0.4
EV_000497,Gandaki,2024,October,Crop Burning,5,3.78
EV_000505,Gandaki,2021,November,Construction,5,4.52
EV_000507,Gandaki,2022,July,Forest Fire,5,0.12
EV_000515,Gandaki,2023,September,Dust Storm,5,4.2
EV_000519,Gandaki,2022,July,Forest Fire,5,3.21
EV_000526,Gandaki,2026,July,Forest Fire,5,1.79
EV_000528,Gandaki,2023,July,Forest Fire,5,1.23
EV_000533,Gandaki,2024,November,Forest Fire,5,4.7
EV_000546,Gandaki,2023,January,Forest Fire,5,4.96
EV_000548,Gandaki,2026,December,Crop Burning,5,1.24
EV_000551,Gandaki,2026,April,Crop Burning,5,1.03
EV_000552,Gandaki,2026,January,Crop Burning,5,0.59
EV_000560,Gandaki,2026,October,Construction,5,2.67
EV_000571,Gandaki,2026,March,Construction,5,2.48
EV_000573,Gandaki,2022,July,Dust Storm,5,0.75
EV_000582,Gandaki,2022,May,Dust Storm,5,4.49
EV_000594,Gandaki,2023,March,Crop Burning,5,2.69
EV_000596,Gandaki,2020,November,Crop Burning,5,1.92
EV_000601,Gandaki,2022,August,Construction,5,0.66
EV_000605,Gandaki,2022,May,Construction,5,1.97
EV_000606,Gandaki,2020,August,Dust Storm,5,2.77
EV_000611,Gandaki,2023,November,Forest Fire,5,3.85
EV_000615,Gandaki,2019,October,Construction,5,0.38
EV_000616,Gandaki,2025,November,Dust Storm,5,1.56
EV_000621,Gandaki,2026,August,Forest Fire,5,3.84
EV_000629,Gandaki,2026,February,Forest Fire,5,1.05
EV_000630,Gandaki,2026,August,Construction,5,0.88
EV_000634,Gandaki,2025,October,Forest Fire,5,4.78
EV_000649,Gandaki,2026,November,Dust Storm,5,0.74
EV_000650,Gandaki,2026,September,Crop Burning,5,1.58
EV_000653,Gandaki,2021,September,Crop Burning,5,0.35
EV_000666,Gandaki,2020,March,Forest Fire,5,4.6
EV_000689,Gandaki,2021,December,Construction,5,1.69
EV_000694,Gandaki,2026,March,Dust Storm,5,2.35
EV_000696,Gandaki,2023,March,Construction,5,3.51
EV_000707,Gandaki,2020,December,Construction,5,3.8
EV_000714,Gandaki,2022,April,Forest Fire,5,2.29
EV_000717,Gandaki,2019,December,Forest Fire,5,3.57
EV_000718,Gandaki,2023,February,Construction,5,2.85
EV_000725,Gandaki,2026,May,Crop Burning,5,1.45
EV_000736,Gandaki,2023,May,Construction,5,0.21
EV_000738,Gandaki,2019,January,Forest Fire,5,3.61
EV_000740,Gandaki,2022,April,Dust Storm,5,4.12
EV_000745,Gandaki,2024,September,Construction,5,2.38
EV_000754,Gandaki,2025,April,Forest Fire,5,0.32
EV_000756,Gandaki,2024,March,Crop Burning,5,4.83
EV_000763,Gandaki,2020,November,Dust Storm,5,0.55
EV_000764,Gandaki,2023,November,Dust Storm,5,2.3
EV_000784,Gandaki,2022,October,Dust Storm,5,3.2
EV_000790,Gandaki,2021,January,Crop Burning,5,0.52
EV_000795,Gandaki,2023,October,Forest Fire,5,1.46
EV_000800,Gandaki,2019,October,Factory Emission,5,0.72
EV_000806,Gandaki,2023,February,Factory Emission,5,1.29
EV_000810,Gandaki,2021,June,Factory Emission,5,2.14
EV_000812,Gandaki,2023,March,Forest Fire,5,4.48
EV_000814,Gandaki,2019,January,Crop Burning,5,2.31
EV_000816,Gandaki,2019,June,Crop Burning,5,3.62
EV_000818,Gandaki,2026,June,Construction,5,4.64
EV_020620,Gandaki,2025,September,Factory Emission,5,4.95
EV_007162,Gandaki,2022,June,Crop Burning,5,1.06
EV_025956,Gandaki,2019,June,Factory Emission,5,4.37
EV_090692,Gandaki,2022,December,Crop Burning,5,0.69
EV_016544,Gandaki,2021,January,Forest Fire,5,1.36
EV_079609,Gandaki,2024,December,Dust Storm,5,4.34
EV_069409,Gandaki,2019,March,Construction,5,4.58
EV_098687,Gandaki,2019,April,Factory Emission,5,4.15
EV_037967,Gandaki,2019,August,Factory Emission,5,1.41
EV_074196,Gandaki,2021,July,Factory Emission,5,1.8
EV_046978,Gandaki,2024,January,Crop Burning,5,0.61
EV_061749,Gandaki,2026,April,Dust Storm,5,0.94
EV_011584,Gandaki,2022,January,Factory Emission,5,2.67
EV_094820,Gandaki,2023,March,Construction,5,0.77
EV_052230,Gandaki,2024,January,Crop Burning,5,0.94
EV_021124,Gandaki,2023,October,Crop Burning,5,0.97
EV_077512,Gandaki,2019,November,Factory Emission,5,1.16
EV_080143,Gandaki,2026,August,Dust Storm,5,0.28
