District,Year,Respiratory_Cases,Emergency_Visits,Hospital_Admissions,Avg_Treatment_Cost_NPR
Lalitpur,2022,999,180,16,6906
Lalitpur,2022,998,29,12,14148
Lalitpur,2024,998,14,83,20597
Lalitpur,2024,998,158,27,21952
Lalitpur,2023,997,155,36,22899
Lalitpur,2026,997,52,13,13857
Lalitpur,2021,997,199,6,7557
Lalitpur,2024,996,166,77,37556
Lalitpur,2025,996,108,36,5042
Lalitpur,2020,995,193,67,12152
Lalitpur,2021,995,18,92,14087
Lalitpur,2022,995,23,65,6827
Lalitpur,2023,995,108,63,6962
Lalitpur,2026,994,132,88,10390
Lalitpur,2026,994,81,31,45922
Lalitpur,2026,993,105,59,15174
Lalitpur,2025,993,126,98,24760
Lalitpur,2026,992,45,21,49737
Lalitpur,2020,992,133,81,14402
Lalitpur,2023,991,119,41,35390
Lalitpur,2026,991,156,58,39040
Lalitpur,2020,990,189,7,12411
Lalitpur,2020,990,184,10,22287
Lalitpur,2024,988,129,64,25493
Lalitpur,2019,988,59,65,40233
Lalitpur,2023,988,142,7,15338
Lalitpur,2020,988,65,18,8687
Lalitpur,2026,987,139,92,36416
Lalitpur,2024,987,77,22,14662
Lalitpur,2020,987,90,38,31524
Lalitpur,2022,986,49,86,42525
Lalitpur,2023,986,76,84,38095
Lalitpur,2025,986,187,78,16779
Lalitpur,2019,985,90,18,45260
Lalitpur,2025,985,77,36,26624
Lalitpur,2024,985,77,89,9180
Lalitpur,2021,983,62,25,30255
Lalitpur,2023,983,29,97,34313
Lalitpur,2026,983,173,62,27303
Lalitpur,2022,983,182,28,17111
Lalitpur,2022,982,123,60,39187
Lalitpur,2019,981,192,73,28502
Lalitpur,2023,981,177,33,18893
Lalitpur,2024,981,25,71,23344
Lalitpur,2019,980,150,51,5667
Lalitpur,2023,980,39,51,49581
Lalitpur,2021,980,44,21,27674
Lalitpur,2020,979,20,35,27541
Lalitpur,2025,978,110,74,34421
Lalitpur,2024,977,194,35,9984
Lalitpur,2024,977,68,21,29956
Lalitpur,2023,977,162,46,7175
Lalitpur,2022,976,123,7,32835
Lalitpur,2026,976,69,66,7280
Lalitpur,2021,975,66,11,16145
Lalitpur,2020,975,147,48,19055
Lalitpur,2020,974,87,95,13103
Lalitpur,2021,974,198,56,14862
Lalitpur,2021,974,120,75,17535
Lalitpur,2023,974,101,64,5358
Lalitpur,2021,973,73,36,20546
Lalitpur,2020,973,97,82,39421
Lalitpur,2024,972,131,11,48613
Lalitpur,2024,971,181,11,25584
Lalitpur,2025,971,37,42,25069
Lalitpur,2024,969,110,50,7227
Lalitpur,2025,969,55,14,37476
Lalitpur,2024,968,163,85,32547
Lalitpur,2026,968,112,44,13981
Lalitpur,2025,968,78,20,49627
Lalitpur,2026,968,30,91,44308
Lalitpur,2023,968,164,72,31655
Lalitpur,2020,967,165,73,18092
Lalitpur,2020,967,192,93,10198
Lalitpur,2020,965,152,95,18938
Lalitpur,2026,963,15,59,21653
Lalitpur,2021,963,34,62,39157
Lalitpur,2021,962,130,37,35597
Lalitpur,2023,962,138,7,40836
Lalitpur,2024,962,121,51,22830
Lalitpur,2023,962,162,71,21952
Lalitpur,2025,962,61,70,39958
Lalitpur,2021,961,183,16,49162
Lalitpur,2021,51,31,95,42279
Lalitpur,2021,583,137,10,45102
Lalitpur,2019,917,68,33,32816
Lalitpur,2021,714,138,87,19107
Lalitpur,2022,763,33,78,45679
Lalitpur,2021,443,146,97,33288
Lalitpur,2019,428,63,54,38181
Lalitpur,2022,471,36,20,45215
Lalitpur,2021,408,49,52,35177
Lalitpur,2025,693,45,19,10365
Lalitpur,2026,126,171,32,35383
Lalitpur,2024,246,119,72,8579
Lalitpur,2026,534,136,78,17344
Lalitpur,2026,720,86,87,12803
Lalitpur,2021,935,95,27,21710
Lalitpur,2019,617,62,53,30107
Lalitpur,2020,831,111,76,33073
Lalitpur,2020,596,161,59,25031
Lalitpur,2023,886,175,46,25880
Lalitpur,2026,932,74,60,32726
Lalitpur,2019,809,186,95,25506
Lalitpur,2025,837,116,92,15530
Lalitpur,2021,132,32,98,14401
Lalitpur,2019,396,174,42,41530
Lalitpur,2023,610,193,96,24778
Lalitpur,2021,670,64,23,23554
Lalitpur,2025,308,196,50,13542
Lalitpur,2019,803,176,33,6283
Lalitpur,2023,367,68,92,35581
Lalitpur,2019,878,126,12,41839
Lalitpur,2020,658,86,13,6970
Lalitpur,2020,345,49,70,47246
Lalitpur,2026,417,119,17,45097
Lalitpur,2026,137,120,42,5714
Lalitpur,2020,869,164,86,33913
Lalitpur,2023,766,137,26,41292
Lalitpur,2019,158,30,84,16178
Lalitpur,2020,244,103,35,39522
Lalitpur,2026,262,33,26,8941
Lalitpur,2020,783,165,33,29450
Lalitpur,2022,313,106,8,7310
Lalitpur,2026,490,118,74,16865
Lalitpur,2021,358,158,78,27573
Lalitpur,2025,888,178,87,22922
Lalitpur,2025,233,118,53,30484
Lalitpur,2024,878,189,44,42810
Lalitpur,2024,712,120,12,42446
Lalitpur,2019,765,148,9,37301
Lalitpur,2021,513,10,30,41534
Lalitpur,2019,111,60,84,35404
Lalitpur,2024,357,50,48,17054
Lalitpur,2020,172,136,30,44590
Lalitpur,2022,516,40,67,22568
Lalitpur,2021,752,104,54,27078
Lalitpur,2020,289,60,40,16764
Lalitpur,2024,216,103,8,7502
Lalitpur,2019,275,81,22,44702
Lalitpur,2020,547,160,8,17624
Lalitpur,2019,800,180,43,17366
Lalitpur,2026,278,70,86,46316
Lalitpur,2025,681,170,99,23558
Lalitpur,2023,858,179,21,30042
Lalitpur,2024,529,145,94,9614
Lalitpur,2022,152,196,50,49244
Lalitpur,2022,164,45,89,15566
Lalitpur,2022,230,91,65,14659
Lalitpur,2025,733,111,46,14351
Lalitpur,2026,664,159,76,24492
Lalitpur,2026,906,129,88,44586
Lalitpur,2022,377,190,22,25683
Lalitpur,2020,673,174,95,32574
Lalitpur,2024,68,98,74,18844
Lalitpur,2019,811,62,51,6610
Lalitpur,2020,729,25,67,23953
Lalitpur,2025,727,62,95,8221
Lalitpur,2021,338,155,43,23842
Lalitpur,2026,193,103,6,19777
Lalitpur,2024,255,81,32,36490
Lalitpur,2020,215,104,13,29064
Lalitpur,2019,211,86,67,11514
Lalitpur,2026,818,107,42,19378
Lalitpur,2020,56,10,70,40574
Lalitpur,2020,117,37,9,33338
Lalitpur,2021,193,62,65,7558
Lalitpur,2022,257,24,15,9858
Lalitpur,2024,338,49,51,8587
Lalitpur,2023,93,30,85,13645
Lalitpur,2020,527,57,98,18667
Lalitpur,2024,691,158,24,32112
Lalitpur,2020,606,55,82,32435
Lalitpur,2020,696,35,66,30099
Lalitpur,2024,343,81,14,14256
Lalitpur,2024,317,81,42,49105
Lalitpur,2024,495,161,58,17637
Lalitpur,2019,681,182,31,10871
Lalitpur,2019,588,104,34,18303
Lalitpur,2024,782,127,78,26660
Lalitpur,2023,428,117,34,36359
Lalitpur,2021,94,100,56,43077
Lalitpur,2021,632,138,69,19627
Lalitpur,2021,380,45,24,46547
Lalitpur,2021,535,47,81,27495
Lalitpur,2024,563,108,74,39416
Lalitpur,2026,632,66,68,37773
Lalitpur,2024,549,117,31,31180
Lalitpur,2023,775,72,62,45145
Lalitpur,2025,689,26,17,26044
Lalitpur,2020,201,54,5,47445
Lalitpur,2019,467,81,47,13723
Lalitpur,2020,434,16,69,47423
Lalitpur,2024,83,157,7,29405
Lalitpur,2021,223,138,52,46182
Lalitpur,2020,937,169,85,45905
Lalitpur,2019,104,149,80,29116
Lalitpur,2023,117,141,39,28405
Lalitpur,2021,518,195,35,33714
Lalitpur,2019,671,99,87,24139
Lalitpur,2021,349,138,26,13106
Lalitpur,2022,87,150,39,37671
Lalitpur,2023,485,184,77,37956
Lalitpur,2026,354,41,91,12126
Lalitpur,2021,737,53,21,29435
Lalitpur,2024,774,125,61,15112
Lalitpur,2020,482,72,94,8151
Lalitpur,2020,453,114,72,35749
Lalitpur,2026,728,177,25,13398
Lalitpur,2021,348,15,58,33837
Lalitpur,2024,309,88,23,19048
Lalitpur,2024,710,48,13,28197
Lalitpur,2024,665,48,71,38546
Lalitpur,2026,166,190,54,48724
Lalitpur,2022,727,187,74,39552
Lalitpur,2022,293,157,15,15483
Lalitpur,2020,82,145,29,29741
Lalitpur,2020,628,161,14,49898
Lalitpur,2021,905,94,27,13238
Lalitpur,2020,802,42,62,8545
Lalitpur,2022,89,94,95,8050
Lalitpur,2019,736,121,58,7745
Lalitpur,2026,168,51,25,42838
Lalitpur,2020,578,131,14,22634
Lalitpur,2023,747,152,57,37731
Lalitpur,2026,751,170,45,35746
Lalitpur,2026,739,102,71,14642
Lalitpur,2026,678,45,72,39818
Lalitpur,2023,161,14,89,47708
Lalitpur,2026,390,86,92,37366
Lalitpur,2026,479,74,24,8102
Lalitpur,2022,379,89,71,39479
Lalitpur,2021,330,137,64,18581
Lalitpur,2020,57,53,27,12969
Lalitpur,2022,394,46,14,36576
Lalitpur,2026,411,129,95,26593
Lalitpur,2024,618,20,47,11158
Lalitpur,2025,428,60,58,48354
Lalitpur,2026,148,16,51,20460
Lalitpur,2024,745,186,83,14566
Lalitpur,2023,603,33,72,30935
Lalitpur,2023,167,142,91,49010
Lalitpur,2021,538,112,14,21547
Lalitpur,2025,103,141,68,10746
Lalitpur,2022,185,49,80,46649
Lalitpur,2024,648,164,54,26563
Lalitpur,2024,939,31,32,27644
Lalitpur,2020,950,31,9,18132
Lalitpur,2019,770,18,5,38604
Lalitpur,2022,287,152,41,33103
Lalitpur,2024,618,16,41,32380
Lalitpur,2026,372,32,14,46032
Lalitpur,2019,908,184,56,14047
Lalitpur,2019,676,83,61,37428
Lalitpur,2022,140,165,43,46349
Lalitpur,2023,162,11,84,37872
Lalitpur,2023,173,79,93,17549
Lalitpur,2021,706,81,56,30305
Lalitpur,2023,705,34,10,12714
Lalitpur,2026,317,90,72,33295
Lalitpur,2021,255,20,46,47693
Lalitpur,2025,764,68,82,5214
Lalitpur,2020,465,80,27,18173
Lalitpur,2019,478,151,59,38479
Lalitpur,2021,89,58,28,33579
Lalitpur,2021,633,183,55,32555
Lalitpur,2019,350,122,22,21856
Lalitpur,2022,379,100,77,35267
Lalitpur,2020,161,75,87,29856
Lalitpur,2022,346,68,5,17225
Lalitpur,2023,197,108,67,16943
Lalitpur,2021,171,164,58,38699
Lalitpur,2025,705,143,38,20032
Lalitpur,2023,702,53,19,41452
Lalitpur,2026,262,20,80,32664
Lalitpur,2022,396,176,12,35098
Lalitpur,2019,422,105,28,34391
Lalitpur,2019,769,14,66,12438
Lalitpur,2025,918,140,37,31850
Lalitpur,2021,899,127,71,21181
Lalitpur,2025,277,76,43,46032
Lalitpur,2026,259,175,94,9047
Lalitpur,2020,170,42,7,7983
Lalitpur,2025,324,144,16,31144
Lalitpur,2025,497,191,6,49140
Lalitpur,2020,179,110,20,9679
Lalitpur,2026,781,155,62,13621
Lalitpur,2020,676,152,71,25878
Lalitpur,2019,657,187,52,21759
Lalitpur,2023,355,144,62,35934
Lalitpur,2020,327,148,31,46427
Lalitpur,2021,501,163,53,7242
Lalitpur,2022,765,171,10,40742
Lalitpur,2022,462,21,8,8380
Lalitpur,2024,516,165,39,49024
Lalitpur,2026,293,146,98,32326
Lalitpur,2026,650,146,70,35593
Lalitpur,2021,504,187,15,36027
Lalitpur,2024,309,81,45,31664
Lalitpur,2020,68,196,89,12304
Lalitpur,2024,747,106,70,14905
Lalitpur,2023,307,108,45,34038
Lalitpur,2019,629,173,85,42053
Lalitpur,2025,319,39,87,13090
Lalitpur,2020,798,109,37,44135
Lalitpur,2024,942,14,33,47549
Lalitpur,2023,509,62,34,32414
Lalitpur,2021,522,38,8,49376
Lalitpur,2019,665,36,44,13476
Lalitpur,2024,116,63,58,5743
Lalitpur,2021,696,119,93,31223
Lalitpur,2021,650,160,16,47263
Lalitpur,2024,803,157,80,13663
Lalitpur,2026,614,173,59,19379
Lalitpur,2025,160,63,52,5470
Lalitpur,2026,218,49,87,32951
Lalitpur,2020,947,105,82,19226
Lalitpur,2019,186,61,54,48934
Lalitpur,2023,453,20,78,5187
Lalitpur,2024,612,99,57,47382
Lalitpur,2019,66,28,71,31997
Lalitpur,2024,253,56,89,6076
Lalitpur,2023,320,186,12,5453
Lalitpur,2019,53,74,5,49607
Lalitpur,2021,595,92,71,13042
Lalitpur,2025,619,48,98,11337
Lalitpur,2020,163,158,22,6260
Lalitpur,2020,263,69,36,48180
Lalitpur,2026,317,50,30,11074
Lalitpur,2023,399,130,39,23684
Lalitpur,2023,960,148,33,32914
Lalitpur,2022,95,93,8,33880
Lalitpur,2021,871,31,93,37707
Lalitpur,2021,464,139,24,40482
Lalitpur,2021,852,44,30,11871
Lalitpur,2026,490,131,10,47563
