_id,Station_ID,Timestamp,Temperature_C,Humidity_Pct,Wind_Speed_Kph,Visibility_Km
WX_0269804,ST_004,2023-11-03 17:44:08,19.7,98.0,5.9,7.7
WX_0286909,ST_004,2025-11-22 12:06:46,23.9,18.2,27.8,13.8
WX_0393683,ST_004,2019-06-21 11:08:06,37.3,87.7,1.8,6.0
WX_0597057,ST_004,2024-11-14 18:35:52,16.6,63.6,23.8,14.2
WX_0254507,ST_004,2023-06-24 04:46:29,9.5,18.6,19.5,6.4
WX_0447454,ST_004,2025-06-22 10:17:27,13.3,61.7,12.5,6.7
WX_0421784,ST_004,2023-07-29 04:02:05,38.6,48.3,23.6,7.1
WX_0457347,ST_004,2026-02-11 05:50:20,36.8,76.8,4.4,6.2
WX_0469832,ST_004,2021-01-29 14:41:51,23.8,29.8,3.7,13.4
WX_0442142,ST_004,2020-02-07 08:35:40,17.6,72.2,16.1,3.6
WX_0546018,ST_004,2020-05-02 02:15:40,19.0,46.3,7.1,5.5
WX_0205112,ST_004,2024-01-31 10:10:05,13.0,81.9,11.3,9.9
WX_0312206,ST_004,2023-10-22 22:29:32,39.8,52.2,14.8,10.8
WX_0231326,ST_004,2020-01-09 08:59:42,40.0,97.0,18.4,3.9
WX_0184364,ST_004,2026-04-26 01:21:45,8.9,84.5,3.1,4.4
WX_0034010,ST_004,2025-05-18 05:16:31,19.9,76.8,13.0,1.2
WX_0218333,ST_004,2021-02-23 14:31:03,16.3,65.5,21.3,3.0
WX_0591276,ST_004,2022-09-04 08:42:32,33.5,68.0,19.5,9.2
WX_0442298,ST_004,2024-07-05 14:48:36,25.7,59.0,1.4,6.0
WX_0158372,ST_004,2020-09-15 14:30:09,24.7,33.1,22.1,2.2
WX_0139699,ST_004,2021-01-18 16:19:41,9.2,25.0,11.5,1.0
WX_0509725,ST_004,2020-10-11 17:36:05,6.3,80.6,22.9,11.7
WX_0044781,ST_004,2022-03-17 06:31:15,7.7,10.1,13.0,6.2
WX_0257870,ST_004,2019-12-17 23:54:53,38.5,29.5,2.0,8.5
WX_0129659,ST_004,2023-10-18 18:00:18,30.5,18.4,26.2,2.2
WX_0285991,ST_004,2023-06-29 23:07:46,13.5,62.2,8.4,4.2
WX_0265683,ST_004,2021-02-12 01:43:07,14.6,91.1,18.2,12.7
WX_0426788,ST_004,2019-02-28 13:05:27,23.1,26.8,29.6,4.3
WX_0190043,ST_004,2021-04-19 03:02:26,39.7,23.9,11.3,8.1
WX_0099148,ST_004,2021-10-06 19:59:20,6.7,86.1,16.6,9.1
WX_0108615,ST_004,2023-03-25 12:28:31,39.5,76.6,11.6,1.5
WX_0149083,ST_004,2023-11-26 12:34:31,15.9,27.6,28.7,12.6
WX_0385780,ST_004,2026-07-06 19:04:21,38.4,26.6,28.7,10.2
WX_0564991,ST_004,2024-02-01 08:05:50,23.6,85.3,21.8,7.6
WX_0584881,ST_004,2022-06-07 06:56:36,11.7,61.7,25.3,13.7
WX_0257929,ST_004,2021-08-03 18:23:45,14.3,66.9,4.4,1.9
WX_0167020,ST_004,2026-01-18 01:15:11,5.2,37.1,20.0,2.2
WX_0481891,ST_004,2024-10-06 14:52:15,3.8,14.5,26.1,13.5
WX_0382020,ST_004,2025-10-18 06:07:37,13.2,40.8,12.6,8.4
WX_0000943,ST_004,2020-03-31 13:15:13,31.4,49.1,1.9,6.1
WX_0263938,ST_004,2026-10-14 05:50:52,26.1,87.0,7.6,2.3
WX_0438699,ST_004,2023-01-19 07:08:04,22.6,75.7,0.5,5.2
WX_0254447,ST_004,2024-06-07 01:33:54,29.1,54.7,11.5,11.4
WX_0500228,ST_004,2023-05-17 16:08:22,8.3,47.1,4.2,1.2
WX_0515133,ST_004,2025-01-13 09:50:25,35.5,59.0,7.3,13.4
WX_0067763,ST_004,2022-04-14 12:02:03,4.6,83.6,26.6,9.4
WX_0068043,ST_004,2019-08-17 20:52:36,36.1,94.2,6.0,13.1
WX_0457290,ST_004,2022-06-23 05:41:12,22.1,17.7,0.2,0.2
WX_0361161,ST_004,2026-12-22 09:03:19,25.0,88.6,24.4,5.3
WX_0567643,ST_004,2025-01-16 05:10:00,21.9,73.7,11.8,10.8
WX_0550578,ST_004,2021-01-07 09:45:04,23.1,73.6,21.1,13.1
WX_0525666,ST_004,2024-07-09 04:31:44,25.2,12.9,6.7,1.3
WX_0310403,ST_004,2024-05-04 09:37:18,15.6,29.0,15.0,8.5
WX_0419437,ST_004,2026-11-01 16:16:12,36.1,34.3,21.1,10.1
WX_0223085,ST_004,2022-12-12 21:01:44,21.3,28.5,24.2,4.7
WX_0423353,ST_004,2025-08-30 09:39:50,22.2,53.8,18.4,4.0
WX_0105904,ST_004,2021-12-23 06:17:19,40.0,41.7,11.6,8.4
WX_0531969,ST_004,2019-08-01 12:34:31,26.2,12.1,10.3,11.9
WX_0138577,ST_004,2022-12-06 12:33:19,29.1,22.3,18.0,9.3
WX_0433564,ST_004,2022-06-16 11:32:38,17.0,99.8,17.6,1.7
WX_0482730,ST_004,2022-02-04 00:36:55,20.8,45.3,11.0,8.8
WX_0186832,ST_004,2020-05-25 23:58:50,4.6,97.4,23.4,7.6
WX_0058094,ST_004,2026-06-10 14:08:58,34.7,92.5,8.5,2.4
WX_0562469,ST_004,2020-04-21 00:22:11,19.9,78.5,18.5,1.3
WX_0486181,ST_004,2020-08-10 05:24:22,19.4,59.4,0.4,6.9
WX_0022172,ST_004,2019-10-12 01:29:04,25.5,18.2,20.9,11.9
WX_0269049,ST_004,2020-04-17 20:04:45,29.0,93.5,3.8,14.2
WX_0004006,ST_004,2024-03-20 14:15:36,7.1,80.0,13.5,0.7
WX_0023461,ST_004,2022-02-19 01:33:58,6.4,66.9,14.5,6.3
WX_0447947,ST_004,2020-06-20 12:55:04,8.7,57.0,3.4,8.4
WX_0399409,ST_004,2020-01-15 02:12:51,12.5,42.3,2.8,5.1
WX_0594861,ST_004,2019-10-19 03:11:57,37.3,61.0,24.9,1.6
WX_0481178,ST_004,2025-08-30 15:15:29,12.4,29.1,22.3,4.2
WX_0522042,ST_004,2026-08-25 23:41:13,27.5,94.9,1.5,1.7
WX_0379695,ST_004,2026-03-06 23:10:17,36.3,92.9,24.2,7.9
WX_0192377,ST_004,2021-07-16 04:02:28,37.0,48.5,22.2,4.5
WX_0265670,ST_004,2026-08-22 06:59:10,27.0,97.8,12.4,6.4
WX_0089767,ST_004,2026-11-25 15:53:08,21.8,56.9,18.7,4.0
WX_0149814,ST_004,2023-09-14 10:30:49,12.2,99.7,8.0,9.5
WX_0274486,ST_004,2026-07-07 08:01:23,7.9,53.4,24.1,8.2
WX_0587467,ST_004,2021-12-12 03:38:01,27.5,81.2,2.9,9.9
WX_0054028,ST_004,2025-05-14 04:19:04,21.6,50.4,7.3,12.1
WX_0474950,ST_004,2024-05-25 15:36:28,33.3,74.1,1.5,8.5
WX_0530784,ST_004,2022-04-15 22:58:15,19.8,47.6,17.1,4.3
WX_0409200,ST_004,2023-09-24 23:54:33,9.1,13.3,4.8,0.5
